Replicate,bull,Treatment,Time,acrosome
1,goldfink,CT,0,83
1,goldfink,CT,0.5,
1,goldfink,CT,1,83
1,goldfink,CT,1.5,64
1,goldfink,CT,2,
1,goldfink,B0.3,0,83
1,goldfink,B0.3,0.5,25.49
1,goldfink,B0.3,1,25
1,goldfink,B0.3,1.5,33.33
1,goldfink,B0.3,2,33.89
1,goldfink,B1.1,0,83
1,goldfink,B1.1,0.5,35
1,goldfink,B1.1,1,24
1,goldfink,B1.1,1.5,12.28
1,goldfink,B1.1,2,7.45
2,mastino,CT,0,
2,mastino,CT,0.5,64
2,mastino,CT,1,
2,mastino,CT,1.5,
2,mastino,CT,2,66
2,mastino,B0.3,0,62
2,mastino,B0.3,0.5,45
2,mastino,B0.3,1,35.41
2,mastino,B0.3,1.5,36
2,mastino,B0.3,2,37.03
2,mastino,B1.1,0,62
2,mastino,B1.1,0.5,40.74
2,mastino,B1.1,1,21.56
2,mastino,B1.1,1.5,22.22
2,mastino,B1.1,2,14.56
6,sonora,CT,0,96
6,sonora,CT,0.5,72
6,sonora,CT,1,75
6,sonora,CT,1.5,73.43
6,sonora,CT,2,55.17
6,sonora,B0.05,0,96
6,sonora,B0.05,0.5,75
6,sonora,B0.05,1,71.42
6,sonora,B0.05,1.5,42.3
6,sonora,B0.05,2,32
6,sonora,B0.1,0,96
6,sonora,B0.1,0.5,84.37
6,sonora,B0.1,1,59.25
6,sonora,B0.1,1.5,61.9
6,sonora,B0.1,2,40.84
5,mastino,CT,0,92
5,mastino,CT,0.5,
5,mastino,CT,1,
5,mastino,CT,1.5,77
5,mastino,CT,2,73
5,mastino,B0.05,0,92
5,mastino,B0.05,0.5,70.9
5,mastino,B0.05,1,68.96
5,mastino,B0.05,1.5,76.47
5,mastino,B0.05,2,69.8
5,mastino,B0.1,0,92
5,mastino,B0.1,0.5,48.27
5,mastino,B0.1,1,60
5,mastino,B0.1,1.5,46.29
5,mastino,B0.1,2,49
3,goldfink,CT,0,94.04761905
3,goldfink,CT,0.5,89.55223881
3,goldfink,CT,1,85.61151079
3,goldfink,CT,1.5,86.20689655
3,goldfink,CT,2,84.28571429
3,goldfink,B0.05,0,94.04761905
3,goldfink,B0.05,0.5,96.06299213
3,goldfink,B0.05,1,90.43478261
3,goldfink,B0.05,1.5,93.61702128
3,goldfink,B0.05,2,86.72566372
3,goldfink,B0.1,0,94.04761905
3,goldfink,B0.1,0.5,96.7032967
3,goldfink,B0.1,1,87.82608696
3,goldfink,B0.1,1.5,90.90909091
3,goldfink,B0.1,2,82.55813953
3,goldfink,B0.3,0,94.04761905
3,goldfink,B0.3,0.5,95.3271028
3,goldfink,B0.3,1,81.98198198
3,goldfink,B0.3,1.5,82.0754717
3,goldfink,B0.3,2,77.27272727
3,goldfink,B1.1,0,94.04761905
3,goldfink,B1.1,0.5,93.5483871
3,goldfink,B1.1,1,91.50943396
3,goldfink,B1.1,1.5,85
3,goldfink,B1.1,2,73.41772152
4,mastino,CT,0,96.15384615
4,mastino,CT,0.5,86
4,mastino,CT,1,87.5
4,mastino,CT,1.5,85.18
4,mastino,CT,2,85.45
4,mastino,B0.05,0,96.15384615
4,mastino,B0.05,0.5,89.74
4,mastino,B0.05,1,80.48
4,mastino,B0.05,1.5,75.36
4,mastino,B0.05,2,73.33
4,mastino,B0.1,0,96.15384615
4,mastino,B0.1,0.5,82.25
4,mastino,B0.1,1,77.05
4,mastino,B0.1,1.5,67.34
4,mastino,B0.1,2,70.16