Replicate,Bull,Treatment,Time,CR
1,sonora,CT+,0.5,7.843137255
1,sonora,CT+,1,13.92405063
1,sonora,CT+,1.5,43.44262295
1,sonora,CT+,2,24.7311828
1,sonora,CT+,3,31.50684932
1,sonora,CT,0.5,1.219512195
1,sonora,CT,1,14.70588235
1,sonora,CT,1.5,11.9047619
1,sonora,CT,2,15.83333333
1,sonora,CT,3,14.77272727
1,sonora,b0.05,1,20.38834951
1,sonora,b0.05,1.5,19.48051948
1,sonora,b0.05,2,26.47058824
1,sonora,b0.05,3,24.46808511
1,sonora,b0.1,1,16.07142857
1,sonora,b0.1,1.5,28.08988764
1,sonora,b0.1,2,43.1372549
1,sonora,b0.1,3,46.46464646
1,sonora,b0.3,0.5,16.98113208
1,sonora,b0.3,1,20.3125
1,sonora,b0.3,1.5,23.71134021
1,sonora,b0.3,2,45.45454545
1,sonora,b0.3,3,25.30120482
1,sonora,b1.1,0.5,12.76595745
1,sonora,b1.1,1,13.95348837
1,sonora,b1.1,1.5,14.49275362
1,sonora,b1.1,2,20
1,sonora,b1.1,3,21.21212121
1,sonora,CT+,0.5,0
2,goldfink,CT+,1,15.87301587
2,goldfink,CT+,1.5,13.79310345
2,goldfink,CT+,2,10.34482759
2,goldfink,CT+,3,1.234567901
2,goldfink,CT,0.5,1.041666667
2,goldfink,CT,1,1.851851852
2,goldfink,CT,1.5,0
2,goldfink,CT,2,1.020408163
2,goldfink,CT,3,0
2,goldfink,b0.05,0.5,5.555555556
2,goldfink,b0.05,1,5.660377358
2,goldfink,b0.05,1.5,6.52173913
2,goldfink,b0.05,2,8.695652174
2,goldfink,b0.05,3,3.448275862
2,goldfink,b0.1,0.5,0
2,goldfink,b0.1,1,20.37037037
2,goldfink,b0.1,1.5,3.333333333
2,goldfink,b0.1,2,11.11111111
2,goldfink,b0.1,3,0
2,goldfink,b0.3,0.5,2.43902439
2,goldfink,b0.3,1,3.03030303
2,goldfink,b0.3,1.5,9.433962264
2,goldfink,b0.3,2,5.660377358
2,goldfink,CT+,0.5,33.33333333
3,mastino,CT+,1,46.875
3,mastino,CT+,1.5,35.48387097
3,mastino,CT+,2,19.64285714
3,mastino,CT+,3,15.625
3,mastino,CT,0.5,7.692307692
3,mastino,CT,1,6.66666667
3,mastino,CT,1.5,11.12676056
3,mastino,CT,2,10.90909091
3,mastino,CT,3,8.641975309
3,mastino,b0.05,0.5,53.65853659
3,mastino,b0.05,1,35.71428571
3,mastino,b0.05,1.5,41.37931034
3,mastino,b0.05,2,27.02702703
3,mastino,b0.05,3,37.03703704
3,mastino,b0.1,0.5,44
3,mastino,b0.1,1,21.62162162
3,mastino,b0.1,1.5,19.64285714
3,mastino,b0.1,2,12.76595745
3,mastino,b0.1,3,3.333333333
3,mastino,b0.3,0.5,46.34146341
3,mastino,b0.3,1,33.33333333
3,mastino,b0.3,1.5,26.47058824
3,mastino,b0.3,2,24.32432432
3,mastino,b0.3,3,13.63636364
3,mastino,b1.1,0.5,34.69387755
3,mastino,b1.1,1,48.88888889
3,mastino,b1.1,1.5,40
3,mastino,b1.1,2,17.64705882
3,mastino,b1.1,3,6.557377049
3,mastino,CT+,0.5,13.98119952
4,mastino,CT+,1,26.9271015
4,mastino,CT+,1.5,20.792834
4,mastino,CT+,2,40.74074074
4,mastino,CT+,3,27.27272727
4,mastino,b0.05,0.5,14.03596404
4,mastino,b0.05,1,18.46153846
4,mastino,b0.05,1.5,31.36537792
4,mastino,b0.05,2,48.05555556
4,mastino,b0.05,3,37.03703704
4,mastino,b0.1,0.5,15.52197802
4,mastino,b0.1,1,17.45901639
4,mastino,b0.1,1.5,36.61616162
4,mastino,b0.1,2,32.02614379
4,mastino,b0.1,3,30.15873016
4,mastino,b0.3,0.5,40.65934066
4,mastino,b0.3,1,21.50663544
4,mastino,b0.3,1.5,7.564778217
4,mastino,b0.3,2,17.22222222
4,mastino,b0.3,3,0.564971751
4,mastino,b1.1,0.5,11.0198213
4,mastino,b1.1,1,4.766708701
4,mastino,b1.1,1.5,2.05503309
4,mastino,b1.1,2,13.00236407
4,mastino,b1.1,3,10.25641026