Microplastic,Sample,Number of particles,particles_ml
ABS,FF3Bov,1.5,1.25
CELLULOSE,FF3Bov,12.5,10.41666667
NYLON,FF3Bov,2,1.666666667
POLYPROPYLENE ,FF3Bov,11.5,9.583333333
POLYAMIDE,FF3Bov,1,0.833333333
POLYESTER,FF3Bov,2,1.666666667
POLYETHYLENE,FF3Bov,20.5,17.08333333
POLYSTYRENE,FF3Bov,11.5,9.583333333
POLYVINYL CHLORIDE,FF3Bov,1,0.833333333
SILICON(IV) OXIDE,FF3Bov,12,10
OTHER,FF3Bov,34.5,28.75
ABS,FF2Bov,0,0
CELLULOSE,FF2Bov,0.5,0.416666667
NYLON,FF2Bov,0,0
POLYPROPYLENE ,FF2Bov,0,0
POLYAMIDE,FF2Bov,0,0
POLYESTER,FF2Bov,0,0
POLYETHYLENE,FF2Bov,0,0
POLYSTYRENE,FF2Bov,1.5,1.25
POLYVINYL CHLORIDE,FF2Bov,16,13.33333333
SILICON(IV) OXIDE,FF2Bov,0,0
OTHER,FF2Bov,2.5,2.083333333
ABS,FF1Bov,0,0
CELLULOSE,FF1Bov,1.5,1.25
NYLON,FF1Bov,0,0
POLYPROPYLENE ,FF1Bov,0,0
POLYAMIDE,FF1Bov,0,0
POLYESTER,FF1Bov,0,0
POLYETHYLENE,FF1Bov,0,0
POLYSTYRENE,FF1Bov,0,0
POLYVINYL CHLORIDE,FF1Bov,5,4.166666667
SILICON(IV) OXIDE,FF1Bov,0,0
OTHER,FF1Bov,1.5,1.25
ABS,FF1Hum,1,0.833333333
CELLULOSE,FF1Hum,0,0
NYLON,FF1Hum,0,0
POLYPROPYLENE ,FF1Hum,11,9.166666667
POLYAMIDE,FF1Hum,0,0
POLYESTER,FF1Hum,0,0
POLYETHYLENE,FF1Hum,0,0
POLYSTYRENE,FF1Hum,5,4.166666667
POLYVINYL CHLORIDE,FF1Hum,7,5.833333333
RUBBER,FF1Hum,16,13.33333333
SILICON(IV) OXIDE,FF1Hum,0,0
OTHER,FF1Hum,11,9.166666667
ABS,FF2Hum,0,0
CELLULOSE,FF2Hum,0,0
NYLON,FF2Hum,0,0
POLYPROPYLENE ,FF2Hum,0,0
POLYAMIDE,FF2Hum,0,0
POLYESTER,FF2Hum,0,0
POLYETHYLENE,FF2Hum,1,0.833333333
POLYSTYRENE,FF2Hum,0,0
POLYVINYL CHLORIDE,FF2Hum,3,2.5
RUBBER,FF2Hum,5,4.166666667
SILICON(IV) OXIDE,FF2Hum,0,0
OTHER,FF2Hum,2,1.666666667
ABS,FF3Hum,0,0
CELLULOSE,FF3Hum,0,0
NYLON,FF3Hum,0,0
POLYPROPYLENE ,FF3Hum,0,0
POLYAMIDE,FF3Hum,0,0
POLYESTER,FF3Hum,0,0
POLYETHYLENE,FF3Hum,0,0
POLYSTYRENE,FF3Hum,0,0
POLYVINYL CHLORIDE,FF3Hum,1,0.833333333
RUBBER,FF3Hum,0,0
SILICON(IV) OXIDE,FF3Hum,0,0
OTHER,FF3Hum,0,0
POLYURETHANE,FF3Hum,1,0.833333333
ABS,FF4Hum,63,52.5
CELLULOSE,FF4Hum,0,0
NYLON,FF4Hum,12,10
POLYPROPYLENE ,FF4Hum,15,12.5
POLYAMIDE,FF4Hum,2,1.666666667
POLYESTER,FF4Hum,12,10
POLYETHYLENE,FF4Hum,7,5.833333333
POLYSTYRENE,FF4Hum,48,40
POLYVINYL CHLORIDE,FF4Hum,4,3.333333333
RUBBER,FF4Hum,110,91.66666667
SILICON(IV) OXIDE,FF4Hum,0,0
OTHER,FF4Hum,447,372.5
POLYURETHANE,FF4Hum,0,0
ABS,FF5Hum,0,0
CELLULOSE,FF5Hum,3,2.5
NYLON,FF5Hum,7,5.833333333
POLYPROPYLENE ,FF5Hum,4,3.333333333
POLYAMIDE,FF5Hum,7,5.833333333
POLYESTER,FF5Hum,3,2.5
POLYETHYLENE,FF5Hum,68,56.66666667
POLYSTYRENE,FF5Hum,1,0.833333333
POLYVINYL CHLORIDE,FF5Hum,0,0
RUBBER,FF5Hum,29,24.16666667
SILICON(IV) OXIDE,FF5Hum,0,0
OTHER,FF5Hum,28,23.33333333
ABS,FF6Hum,1,0.833333333
CELLULOSE,FF6Hum,5,4.166666667
NYLON,FF6Hum,5,4.166666667
POLYPROPYLENE ,FF6Hum,2,1.666666667
POLYAMIDE,FF6Hum,11,9.166666667
POLYESTER,FF6Hum,7,5.833333333
POLYETHYLENE,FF6Hum,10,8.333333333
POLYSTYRENE,FF6Hum,0,0
POLYVINYL CHLORIDE,FF6Hum,0,0
RUBBER,FF6Hum,1,0.833333333
SILICON(IV) OXIDE,FF6Hum,0,0
OTHER,FF6Hum,34,28.33333333
ABS,FF7Hum,1,0.833333333
CELLULOSE,FF7Hum,2,1.666666667
NYLON,FF7Hum,0,0
POLYPROPYLENE ,FF7Hum,1,0.833333333
POLYAMIDE,FF7Hum,3,2.5
POLYESTER,FF7Hum,0,0
POLYETHYLENE,FF7Hum,1,0.833333333
POLYSTYRENE,FF7Hum,0,0
POLYVINYL CHLORIDE,FF7Hum,0,0
RUBBER,FF7Hum,0,0
SILICON(IV) OXIDE,FF7Hum,0,0
OTHER,FF7Hum,10,8.333333333