Sample,Length,Width,Area
WtCTRL1,7.378,3.594,13.384
WtCTRL1,6.618,5.515,27.377
WtCTRL1,5.426,3.453,10.951
WtCTRL1,14.714,3.21,18.251
WtCTRL1,6.618,4.412,21.293
WtCTRL1,14.565,5.221,34.069
WtCTRL1,10.92,4.68,12.776
WtCTRL1,15.567,9.306,39.544
WtCTRL1,4.68,3.12,10.951
WtCTRL1,12.29,6.555,41.369
WtCTRL1,8.636,6.515,18.251
WtCTRL1,14.04,7.02,29.81
WtCTRL1,12.134,7.721,33.46
WtCTRL1,11.014,5.201,34.069
WtCTRL1,6.618,4.412,15.209
WtCTRL1,14.892,8.035,53.537
WtCTRL1,13.196,7.571,49.887
WtCTRL1,4.412,3.309,10.342
WtCTRL1,13.237,8.824,88.214
WtCTRL1,10.359,6.413,40.153
WtCTRL1,6.618,4.412,22.51
WtCTRL1,5.46,4.68,13.384
WtCTRL1,6.618,5.515,25.552
WtCTRL1,12.826,9.373,82.13
WtCTRL1,8.824,4.412,26.16
WtCTRL1,7.721,5.515,35.894
WtCTRL1,6.618,5.515,10.342
WtCTRL1,5.426,5.426,18.86
WtCTRL1,14.34,5.515,45.628
FF3,18.634,13.199,176.348
FF3,18.891,14.168,181.227
FF3,26.598,17.029,204.229
FF3,14.393,8.385,40.428
FF3,7.514,4.174,25.093
FF3,6.679,5.009,22.305
FF3,32.802,15.693,232.808
FF3,10.862,6.376,18.123
FF3,13.696,9.209,84.34
FF3,16.056,3.244,12.547
FF3,17.711,3.542,20.214
FF3,22.265,4.865,25.79
FF3,14.193,4.341,36.943
FF3,7.467,4.48,16.729
FF3,7.958,5.047,23.699
FF3,14.561,8.214,27.881
FF3,23.525,14.67,175.651
FF3,42.701,13.128,235.596
FF3,20.139,5.208,35.548
FF3,4.224,3.696,7.667
FF3,26.716,9.184,89.22
FF3,20.369,12.699,125.465
FF3,12.988,4.723,28.578
FF3,15.646,6.91,50.186
FF3,9.446,5.904,24.396
FF3,3.542,3.542,7.667
FF3,5.904,3.542,17.426
FF3,44.959,20.332,393.124
FF3,7.016,1.973,5.576
FF3,11.646,8.152,68.309
FF3,5.844,2.505,8.364
FF3,16.648,7.172,32.76
FF3,9.446,4.723,20.911
FF3,17.081,7.182,43.216
FF3,13.426,4.912,48.095
FF3,5.904,3.542,11.152
FF3,8.336,4.168,18.82
FF3,16.53,4.487,21.608
FF3,12.145,8.976,23.699
FF3,12.678,3.586,14.638
FF3,19.073,10.172,89.22
FF3,8.588,4.107,20.911
FF3,3.542,3.542,5.576
FF3,6.679,5.009,22.305
FF3,9.504,1.584,6.97
FF3,15.841,7.92,51.58
FF3,12.294,7.3,33.457
FF3,6.864,2.112,7.667
FF3,7.084,4.723,21.608
FF3,7.467,5.601,24.396
FF3,5.227,3.36,9.061
FF3,16.53,11.807,105.251
FF3,9.45,3.723,13.244
FF3,5.155,5.155,6.273
FF3,9.524,6.047,25.093
FF3,19.844,10.327,147.073
FF3,10.626,3.542,7.667
FF3,14.568,10.221,82.946
FF3,11.948,3.734,18.82
FF3,14.193,7.514,41.125
FF3,9.708,5.227,21.608
FF3,5.844,3.34,11.152
FF3,24.641,14.361,255.112
FF3,11.089,8.448,52.974
FF3,34.22,11.028,156.134
FF3,6.864,2.112,6.273
FF3,10.626,5.904,34.851
FF3,14.168,4.723,20.911
FF3,13.364,6.48,55.762
FF3,19.158,5.178,28.578
FF3,7.92,5.28,16.032
FF3,5.904,3.542,9.758
FF3,12.988,9.446,50.883
FF3,7.084,4.723,17.426
FF3,17.915,7.767,69.006
FF3,11.014,5.379,18.82
FF3,40.019,19.03,441.219
FF3,51.516,11.339,235.596
FF3,6.679,5.844,16.032
FF3,10.081,5.601,36.943
FF3,10.019,9.184,48.792
FF3,17.953,5.808,49.489
FF3,13.358,1.67,9.758
FF3,15.394,9.637,76.673
FF3,21.381,8.64,32.063
FF3,6.885,2.835,8.364
FF3,9.446,5.904,32.76
FF3,13.391,10.638,88.523
FF3,5.601,3.36,9.061
FF3,7.084,4.723,19.517
FF3,7.514,3.34,16.032
FF3,4.723,4.723,11.849
FF3,12.757,2.835,6.273
FF3,10.157,4.392,11.849
FF3,17.21,7.269,32.76
FF3,14.266,9.772,19.517
FF3,6.679,3.34,6.97
FF3,5.601,2.987,10.455
FF3,16.369,9.504,100.372
FF3,14.257,5.808,46.701
FF3,16.411,12.723,126.162
FF3,9.446,5.904,20.911
FF3,7.084,5.904,12.547
FF3,11.716,6.151,26.487
FF3,17.623,13.158,108.736
FF3,5.904,5.904,13.941
FF3,15.985,12.897,50.186
FF3,16.776,2.485,21.608
FF3,12.988,9.446,49.489
FF3,16.698,10.853,96.19
FF3,16.396,16.113,149.164
FF3,8.737,7.793,16.032
FF3,5.009,4.174,16.032
FF3,12.757,3.24,13.244
FF3,5.894,3.275,11.849
FF3,10.454,4.107,25.093
FF3,16.53,11.807,92.705
FF3,15.464,4.582,25.79
FF3,7.084,3.542,11.152
FF3,15.028,9.184,73.885
FF3,19.77,6.444,55.065
FF3,5.904,4.723,13.244
FF3,15.349,7.084,55.762
FF3,9.184,3.34,11.152
FF3,12.988,5.904,18.123
FF3,9.184,4.174,24.396
FF3,6.252,2.779,6.273
FF3,13.662,3.936,23.002
FF3,8.265,3.542,9.758
FF3,14.168,12.988,107.342
FF3,5.894,3.93,11.152
FF3,7.556,4.487,11.849
FF3,15.682,4.107,24.396
FF3,17.182,9.45,102.463
FF3,17.683,14.081,146.376
FF3,8.349,2.505,8.364
FF3,9.647,2.412,9.758
FF3,17.425,10.032,60.641
FF3,11.688,7.514,52.974
FF3,8.448,6.864,30.669
FF3,13.303,7.798,28.578
FF3,15.635,10.188,77.37
FF3,8.514,8.514,34.154
FF3,17.533,6.679,80.158
FF3,4.752,4.224,12.547
FF3,9.373,3.175,9.061
FF3,11.807,11.807,75.279
FF3,14.272,12.812,104.554
FF3,11.115,5.557,36.943
FF3,12.988,11.807,89.22
FF3,4.174,3.34,10.455
FF3,5.904,4.723,14.638
FF3,8.516,2.839,12.547
FF3,12.99,10.779,39.034
FF3,9.866,6.358,31.366
FF3,9.184,5.009,21.608
FF3,5.567,3.602,11.849
FF3,5.808,2.112,5.576
FF3,14.573,10.387,55.762
FF3,11.986,8.851,69.006
FF3,19.186,14.318,188.895
FF3,7.514,5.844,11.152
FF3,9.446,4.723,25.093
FF3,5.009,3.34,9.061
FF3,6.873,6.873,26.487
FF3,19.527,11.535,121.98
FF3,5.227,2.987,8.364
FF3,11.84,7.455,62.733
FF3,9.504,3.696,25.79
FF3,10.032,5.28,33.457
FF3,6.864,3.696,8.364
FF3,7.841,4.107,20.214
FF3,19.202,15.028,143.588
FF3,8.349,7.514,30.669
FF3,13.128,10.226,71.097
FF3,9.184,7.514,32.063
FF3,4.257,2.292,5.576
FF3,5.009,5.009,16.032
FF3,7.084,3.542,13.244
FF3,10.38,8.92,45.307
FF3,56.85,16.827,539.5
FF3,11.789,5.567,25.79
FF3,4.224,2.64,7.667
FF3,7.094,5.601,24.396
FF3,15.313,8.976,48.792
FF3,5.567,4.257,15.335
FF3,11.855,7.681,55.762
FF3,19.042,19.042,157.528
FF3,8.683,5.176,20.214
FF3,12.988,8.265,52.974
FF3,11.688,9.184,27.184
FF3,17.979,3.947,21.608
FF3,11.688,3.34,12.547
FF3,4.723,4.723,12.547
FF3,18.892,7.615,61.339
FF3,17.081,6.988,53.671
FF3,9.45,4.009,11.849
FF3,16.369,5.808,31.366
FF3,12.778,8.084,16.729
FF3,8.265,7.084,36.245
FF3,15.328,14.995,117.798
FF3,19.15,5.287,31.366
FF3,17.548,9.708,90.614
FF3,10.853,5.009,16.729
FF3,8.349,4.174,7.667
FF3,12.278,5.481,26.487
FF3,9.184,5.844,16.729
FF3,10.077,6.511,17.426
FF3,9.446,7.084,26.487
FF3,17.673,10.373,110.828
FF3,17.19,5.089,34.851
FF3,11.574,10.454,36.245
FF3,4.174,3.34,6.97
FF3,16.698,5.009,33.457
FF3,13.972,7.29,58.55
FF3,11.461,4.585,23.002
FF3,5.441,3.723,5.576
FF3,6.848,3.07,11.152
FF3,9.314,4.252,14.638
FF3,11.688,4.174,7.667
FF3,9.334,6.721,41.125
FF3,8.214,5.974,25.79
FF3,16.056,10.217,81.552
FF3,12.988,7.084,47.398
FF3,18.021,10.124,120.586
FF3,11.862,9.373,62.036
FF3,16.227,8.851,59.944
FF3,11.134,5.894,20.214
FF3,16.53,9.446,123.374
FF3,6.336,4.752,13.941
FF3,15.863,13.358,115.707
FF3,15.531,9.536,67.612
FF3,9.446,7.084,46.701
FF3,11.948,2.24,13.941
FF3,14.549,9.196,39.731
FF3,14.174,7.29,57.853
FF3,8.349,5.009,24.396
FF3,10.019,4.174,16.729
FF3,12.001,5.352,25.093
FF3,5.601,2.987,6.273
FF3,16.695,8.933,83.643
FF3,4.912,3.275,9.758
FF3,14.257,6.864,32.063
FF3,9.736,4.009,11.152
FF3,10.984,5.711,20.214
FF3,4.585,4.257,6.97
FF3,18.481,3.696,25.093
FF3,16.82,14.994,151.952
FF3,11.187,8.683,48.095
FF3,9.767,4.186,11.849
FF3,12.988,8.265,78.067
FF3,13.358,7.681,50.883
FF3,6.586,5.727,19.517
FF3,5.904,4.723,6.97
FF3,10.828,4.854,10.455
FF3,8.265,7.084,27.881
FF3,7.92,6.336,33.457
FF3,12.422,7.428,53.671
FF3,13.745,5.727,19.517
FF3,12.988,6.612,32.76
FF3,12.155,8.64,62.733
FF3,11.182,3.289,21.608
FF3,4.107,3.734,6.273
FF3,5.904,4.723,13.244
FF3,17.149,8.482,80.855
FF3,11.807,11.807,96.887
FF3,9.736,6.873,35.548
FF3,18.295,7.467,70.4
FF3,9.446,7.084,29.275
FF3,9.446,8.265,56.459
FF3,4.174,3.34,10.455
FF3,9.317,5.241,8.364
FF3,5.009,3.34,13.941
FF3,14.785,7.92,33.457
FF3,8.588,7.841,32.76
FF3,7.32,3.306,11.152
FF3,8.929,4.853,12.547
FF3,19.624,10.691,61.339
FF3,17.134,10.984,51.58
FF3,9.866,5.481,32.063
FF3,7.016,3.508,11.849
FF3,8.349,5.844,23.699
FF3,4.723,4.723,10.455
FF3,8.265,5.904,9.061
FF3,9.446,7.084,50.883
FF3,15.349,7.084,67.612
FF3,5.601,2.987,11.152
FF3,13.696,6.376,44.61
FF3,16.327,13.152,55.065
FF3,15.746,6.252,38.337
FF3,11.578,5.789,17.426
FF3,9.334,5.974,16.729
FF3,7.92,7.92,46.701
FF3,8.265,4.723,23.699
FF3,4.723,3.542,9.061
FF3,13.43,7.41,45.307
FF3,15.313,8.448,87.826
FF3,7.084,4.723,15.335
FF3,3.168,3.168,6.97
FF3,13.447,3.842,21.608
FF3,5.009,3.34,9.061
FF3,3.34,2.505,6.273
FF3,9.446,4.723,23.699
FF3,4.752,2.64,7.667
FF3,16.895,10.882,115.707
FF3,5.904,4.723,8.364
FF3,8.448,3.696,15.335
FF3,12.812,4.379,21.608
FF3,9.504,5.808,31.366
FF3,7.514,3.34,13.244
FF3,4.174,3.34,6.97
FF3,4.723,3.542,9.758
FF3,8.989,4.166,16.729
FF3,9.736,5.727,37.64
FF3,5.009,3.34,9.061
FF3,16.369,14.257,151.255
FF3,9.708,4.107,22.305
FF3,8.588,5.601,28.578
FF3,11.807,5.904,51.58
FF3,16.369,6.864,58.55
FF3,6.336,2.64,8.364
FF3,8.482,5.532,10.455
FF3,9.708,6.721,32.76
FF3,11.807,9.446,91.311
FF3,11.807,7.084,55.065
FF3,10.626,5.904,31.366
FF3,28.49,23.578,482.344
FF3,4.723,3.542,9.758
FF3,18.891,10.626,101.766
FF3,14.645,7.908,81.552
FF3,22.71,15.528,116.404
FF3,9.334,7.841,46.004
FF3,4.723,4.723,16.032
FF3,14.168,9.446,84.34
FF3,12.523,9.184,92.705
FF3,8.265,5.904,13.244
FF3,5.009,1.67,5.576
FF3,10.019,6.679,39.731
FF3,3.696,2.64,5.576
FF3,13.703,6.787,34.154
FF3,11.617,10.032,69.006
FF3,10.626,9.446,59.247
FF3,13.005,5.881,48.095
FF3,5.894,3.275,9.061
FF3,7.084,4.723,15.335
FF3,4.224,3.168,6.97
FF3,14.168,12.988,144.285
FF3,14.561,5.601,39.034
FF3,6.679,5.009,25.79
FF3,7.084,5.904,29.275
FF3,12.189,9.017,73.885
FF3,10.626,7.084,43.913
FF3,5.894,4.912,17.426
FF3,19.537,9.504,102.463
FF3,8.349,5.844,31.366
FF3,6.336,4.224,18.82
FF3,18.891,14.168,102.463
FF3,14.257,10.032,93.402
FF3,7.084,5.904,13.941
FF3,8.989,6.139,25.79
FF3,11.807,10.626,91.311
FF3,12.673,8.448,68.309
FF3,12.85,11.036,46.004
FF3,9.446,5.904,34.851
FF3,11.089,6.336,42.519
FF3,18.141,15.873,194.471
FF3,10.884,7.71,29.275
FF3,9.922,5.67,25.79
FF3,15.349,10.626,108.736
FF3,9.209,8.989,37.64
FF3,9.682,6.612,31.366
FF3,11.986,7.745,34.154
FF3,18.241,13.681,161.711
FF3,8.349,6.679,41.822
FF3,7.084,3.542,17.426
FF3,8.976,7.392,53.671
FF3,5.567,4.912,7.667
FF3,9.446,8.265,58.55
FF3,7.084,7.084,32.063
FF3,10.088,4.698,16.729
FF3,5.844,5.844,18.82
FF3,14.752,8.298,62.036
FF3,17.811,14.705,169.378
FF3,11.168,6.873,32.063
FF3,12.988,9.446,79.461
FF3,9.446,3.542,26.487
FF2,6.28,3.489,3.956
FF2,17.79,13.343,166.157
FF2,6.29,3.774,9.495
FF2,7.296,5.032,11.077
FF2,12.689,11.188,83.87
FF2,6.407,3.356,8.703
FF2,12.58,5.032,19.781
FF2,10.064,6.29,45.1
FF2,5.032,3.774,12.66
FF2,6.29,3.774,19.781
FF2,12.939,6.188,41.935
FF2,17.794,9.42,56.177
FF2,5.187,3.051,7.121
FF2,14.429,6.773,49.056
FF2,6.29,5.032,8.703
FF2,8.806,5.032,27.693
FF2,9.945,5.171,20.572
FF2,3.938,3.375,4.747
FF2,7.548,5.032,15.824
FF2,6.763,6.763,27.693
FF2,6.28,2.442,5.539
FF2,6.29,5.032,18.989
FF2,5.337,2.669,6.33
FF2,6.227,2.669,6.33
FF2,6.227,3.558,10.286
FF2,5.032,3.774,15.033
FF2,3.938,3.375,6.33
FF2,10.318,4.625,22.154
FF2,6.29,6.29,30.858
FF2,3.375,3.375,7.912
FF1,6.707,5.589,26.862
FF1,12.497,3.999,18.116
FF1,8.694,4.742,16.867
FF1,15.649,5.589,38.106
FF1,8.99,3.72,10.62
FF1,6.235,2.982,11.869
FF1,6.357,4.384,11.869
FF1,7.113,3.952,14.368
FF1,5.589,3.353,14.993
FF1,13.436,3.162,18.741
FF1,14.531,6.707,20.615
FF1,10.378,5.397,23.738
FF1,8.675,4.609,24.988
FF1,16.801,15.502,69.966
FF1,9.188,7.167,17.491
FF1,9.548,4.774,18.116
FF1,10.06,8.942,46.227
FF1,4.242,4.242,10.62
FF1,8.694,4.742,12.494
FF1,5.499,3.999,13.119
FF1,12.69,3.663,14.993
FF1,8.942,4.471,18.116
FF1,10.997,5.499,20.615