Replicate,Bull,Treatment,Time,With beads,No beads,Beads_perc
1,goldfink,B0.3,0.5,24,76,24
1,goldfink,B0.3,1,11,89,11
1,goldfink,B0.3,1.5,5,95,5
1,goldfink,B0.3,2,13,87,13
1,goldfink,B1.1,0.5,6,94,6
1,goldfink,B1.1,1,2,98,2
1,goldfink,B1.1,1.5,4,96,4
1,goldfink,B1.1,2,4,96,4
1,mastino,B0.3,0.5,10,90,10
1,mastino,B0.3,1,6,94,6
1,mastino,B0.3,1.5,2,98,2
1,mastino,B0.3,2,2,98,2
1,mastino,B1.1,0.5,5,95,5
1,mastino,B1.1,1,1,99,1
1,mastino,B1.1,1.5,4,96,4
1,mastino,B1.1,2,2,98,2
1,sonora,B0.3,0.5,2,98,2
1,sonora,B0.3,1,6,94,6
1,sonora,B0.3,1.5,4,96,4
1,sonora,B0.3,2,8,92,8
1,sonora,B1.1,0.5,1,99,1
1,sonora,B1.1,1,0,100,0
1,sonora,B1.1,1.5,1,99,1
1,sonora,B1.1,2,1,99,1
2,mastino,B0.3,0.5,4,96,4
2,mastino,B0.3,1,2,98,2
2,mastino,B0.3,1.5,4,96,4
2,mastino,B0.3,2,8,92,8
2,mastino,B1.1,0.5,0,100,0
2,mastino,B1.1,1,1,99,1
2,mastino,B1.1,1.5,0,100,0
2,mastino,B1.1,2,2,98,2